question,answer
"In Meereen, the slaves turned on the masters and liberated the city themselves the moment I arrived.", They're afraid. Anyone who resists Cersei will see his family butchered. You can't expect them to be heroes. They're hostages.
They are. In a tyrant's grip. Whose fault is that? Mine?, What does it matter whose fault it is? Thousands of children will die if the city burns.
Your sister knows how to use her enemies' weaknesses against them. That's what she thinks our mercy is - weakness.," I beg you, my queen-"
The rearguard should be here by daybreak., She wants to attack now.
We speak the common tongue., Ah. Good. I want to be alone with the prisoner. Get some rest. Tomorrow will be a long day.
We have orders to guard the prisoner., Ordered by whom? The queen herself?
No.," Well, in that case, as Hand of the Queen, I outrank whomever gave your order. Probably by quite a lot."
"Cersei once called me ""the stupidest Lannister."""," And you're going back to her, to die with her."
You've underestimated her before., She's going to die. Unless you can convince her to change her course of action.
When have I ever been able to convince Cersei of anything?," Try. If not for yourself, if not for her, then for every one of the million people in that city, innocent or otherwise."
"To be honest, I never really cared much for them. Innocent or otherwise.", You do care for one innocent. I know you do. And so does Cersei. She has a reason now.
"The child is the reason she'll never give an inch. All the worst things she's ever done, she's done for her children. It's not impossible that she'll win."," She won't. Her enemy's forces have been depleted, as she said they would be."
Two of the three dragons are dead. She's evened the odds., The city will fall tomorrow.
"She has the Lannister army, she has the Golden Company-", I defended the city last time it was attacked. I know it better than anyone. It will fall tomorrow.
"Then I suppose I'll die tomorrow, if not before.", Why?
Sail right past the Iron Fleet and into a new life? Sounds a lot less likely than Cersei winning this war-," There won't be an Iron Fleet for much longer. Do it. If you don't, you'll never see Cersei again."
I'll try.," I never thought I'd get to repay the favor. Remember, ring the bells and open the gates."
Your queen will execute you for this.," If Daenerys can make it to the throne without wading through a river of blood, maybe she'll show mercy to the person who made that possible."
You would have., You were the only one who didn't treat me like a monster. You were all I had.
It's not safe. Let me send some men with you., I'm going alone.
You freed your brother. You committed treason., I freed my brother. And you slaughtered a city.
No.," Ah... Well... thank you for coming to see me. Our queen doesn't keep prisoners for long. I suppose there's a crude kind of justice. I betrayed my closest friend and watched him burn. Now Varys's ashes can tell my ashes, ""See, I told you."" It just occurred to me. I'm talking to the only man alive who knows where I'm going."
(sighs), So is there life after death?
Not that I've seen., I should be thankful. Oblivion is the best I could hope for. I strangled my lover. I shot my own father with a crossbow. I betrayed my queen.
You didn't.," I did. And I'd do it again, now that I've seen what I've seen. I chose my fate. The people of King's Landing did not."
I can't justify what happened. I won't try. But the war is over now.," Is it? When you heard her talking to her soldiers, did she sound like someone who's done fighting?"
"And you've been by her side, counseling her. Until today.", Until today. Varys was right. I was wrong. It was vanity to think I could guide her. Our queen's nature is fire and blood.
"You think our house words are stamped on our bodies when we're born and that's who we are? Then I'd be fire and blood too. She's not her father, no more than you're Tywin Lannister."," My father was an evil man. My sister was an evil woman. Pile up all the bodies of all the people they ever killed, there still won't be half as many as our beautiful queen slaughtered in a single day."
